titulo|autores|isbn|calificacion_promedio
Love's Executioner  And Other Tales Of Psychotherapy|Irvin D. Yalom|0140128468|4.2
The Brothers Karamazov|Fyodor Dostoyevsky-Thomas R. Beyer Jr.-Simon Vance|1596440783|4.32
Old Filth (Old Filth  #1)|Jane Gardam|1933372133|3.93
Filth|Irvine Welsh|0099284294|3.74
The Gospel of Filth: A Bible of Decadence & Darkness|Gavin Baddeley-Dani Filth|9781903254|4.46
Divine Filth: Lost Writings (Modern Classics)|Georges Bataille|1840681128|3.93
Filth: Dirt  Disgust  and Modern Life|William A. Cohen|0816643008|4.17
Pink Flamingos and Other Filth: Three Screenplays|John Waters|1560257016|4.22
What A Lady Wants (Last Man Standing  #2)|Victoria Alexander|0060882638|3.93
Let It Be Love (Effingtons  #11)|Victoria Alexander|0060593202|3.79
The Wedding Bargain (Effingtons  #1)|Victoria Alexander|0380806290|3.88
The Marriage Lesson (Effingtons  #3)|Victoria Alexander|0380818205|3.9
When We Meet Again (Effingtons  #10)|Victoria Alexander|0060593199|3.88
Her Highness  My Wife (Effingtons  #5)|Victoria Alexander|0060001445|3.66
Love With the Proper Husband (Effingtons  #6)|Victoria Alexander|0060001453|3.84
The Lady in Question (Effingtons  #7)|Victoria Alexander|0060517611|3.76
Going on Being: Buddhism and the Way of Change|Mark Epstein|0767904613|3.99
A New History of Early English Drama|John D. Cox-David Scott Kastan-Stephen Greenblatt|0231102437|4.05
The Shell Seekers|Rosamunde Pilcher|051722285X|4.15
The Shell Seekers|Rosamunde Pilcher|0340752467|4.15
Cat's Cradle (Cat  #1)|William W. Johnstone|0821718258|3.88
Five Patients|Michael Crichton|0099601117|3.48
Undertaker of the Mind: John Monro and Mad-Doctoring in Eighteenth-Century England|Jonathan  Andrews-Andrew Scull|0520231511|3.42
Jurassic Park|Michael Crichton|0712646868|4.01
El hombre terminal|Michael Crichton-Pilar Giralt Gorina|8495501236|3.36
Consider the Lilies|Iain Crichton Smith-Isobel Murray|0753812932|3.87
Prey|Michael Crichton|0732281202|3.75
The Mouse That Roared (The Mouse That Roared  #1)|Leonard Wibberley|0553135058|4.03
Peter Treegate's War (Treegate  #2)|Leonard Wibberley|0374358745|4.54
Veinte mil leguas de viaje submarino|Jules Verne-B. Fernandez-Andres Jullian|9561316242|3.88
The Delta Star|Joseph Wambaugh|0553273868|3.64
Finnegan's Week|Joseph Wambaugh|0553763245|3.6
Le chevalier au lion|Chrétien de Troyes|2070760146|3.69
The Miraculous Journey of Edward Tulane|Kate DiCamillo-Bagram Ibatoulline|0763625892|4.36
The Tiger Rising|Kate DiCamillo|0763618985|3.81
Mercy Watson Goes for a Ride (Mercy Watson #2)|Kate DiCamillo-Chris Van Dusen|0763623326|4.14
The Tale of Despereaux|Kate DiCamillo-Timothy Basil Ering|0763625299|4.03
Mercy Watson to the Rescue (Mercy Watson #1)|Kate DiCamillo-Chris Van Dusen|0763622702|4.04
The Tale Of Despereaux|Kate DiCamillo-Timothy B. Ering|043970166X|4.03
Mercy Watson: Princess in Disguise|Kate DiCamillo-Chris Van Dusen|0763630144|4.16
The Mill on the Floss|George Eliot|0140620273|3.79
Culture Shock! Laos (Culture Shock!)|Stephen  Mansfield|1857331648|3.29
The Cambridge Companion to Plotinus|Lloyd P. Gerson|0521476763|4.3
In the Land of the Lawn Weenies and Other Warped and Creepy Tales (Weenies series  #1)|David Lubar|0765345706|3.96
Hidden Talents (Talents  #1)|David Lubar|0765357666|3.93
Dunk|David Lubar|0618439099|3.8
Carnet de Voyage|Craig Thompson|1891830600|3.76
Dark Horse Deluxe Journal: Craig Thompson's Angels and Demons|Craig Thompson|1593070691|3.52
Good-Bye  Chunky Rice|Craig Thompson|0375714766|3.8
Adieu  Chunky Rice|Craig Thompson|2840558599|3.8
Unto Leviathan|Richard Paul Russo|1841492701|3.74
Balanchine: A Biography|Bernard Taper|0520206398|4.31
A Scandalous Life: The Biography of Jane Digby|Mary S. Lovell|1857024699|4.03
The Mitford Girls: The Biography of an Extraordinary Family|Mary S. Lovell|0349115052|3.97
The Splendid Outcast: Beryl Markham's African Stories|Beryl Markham-Mary S. Lovell|0865473013|3.74
Night Prey (Lucas Davenport  #6)|John Sandford|0006478964|4.16
Eyes of Prey (Lucas Davenport  #3)|John Sandford|0425214435|4.18
Mind Prey (Lucas Davenport  #7)|John Sandford|0425152898|4.21
Sharpe's Prey (Sharpe  #5)|Bernard Cornwell|0060084537|4.04
Broken Prey (Lucas Davenport  #16)|John Sandford|0425204308|4.17
Rules of Prey (Lucas Davenport  #1)|John Sandford|0425205819|4.12
Certain Prey (Lucas Davenport  #10)|John Sandford|0743484193|4.22
Silent Prey (Lucas Davenport  #4)|John Sandford|0425137562|4.14
Winter Prey (Lucas Davenport  #5)|John Sandford|0425141233|4.25
Destiny's Daughters|Gwynne Forster-Donna Hill-Parry A. Brown|0758212380|4.22
Fragments|Jean Baudrillard-Emily Agar|1844675734|3.75
The Consumer Society: Myths and Structures|Jean Baudrillard-Chris     Turner-George Ritzer|0761956921|4.13
The Vital Illusion|Jean Baudrillard-Julia Witwer|0231121008|3.84
Hijos de la medianoche|Salman Rushdie|8497934326|3.99
Wicked Ties (Wicked Lovers  #1)|Shayla Black|0425213617|3.96
On a Wicked Dawn (Cynster  #9)|Stephanie Laurens|0060002050|4.06
The Wicked (Vampire Huntress  #8)|L.A. Banks|0312352360|4.41
Wicked Sacrifice (Bound Hearts  #4-5)|Lora Leigh|1419953966|4.22
My Wicked Pirate|Rona Sharon|0821780573|3.9
Wicked Dreams|Kingdome 19|3861878755|3.67
Slightly Wicked (Bedwyn Saga  #2)|Mary Balogh|0440241057|4.0
If I Have a Wicked Stepmother  Where's My Prince?|Melissa Kantor|0786809604|3.66
A Couple of April Fools (The Hamlet Chronicles #6)|Gregory Maguire-Elaine Clayton|0060760826|3.5
The Good Liar|Gregory Maguire|0064408744|3.53
Seven Spiders Spinning (The Hamlet Chronicles  #1)|Gregory Maguire-Dirk Zimmer|0064405958|3.61
Three Rotten Eggs (The Hamlet Chronicles  #5)|Gregory Maguire-Elaine Clayton|0060546573|3.74
Das Tulpenhaus oder Bekenntnisse einer häßlichen Stiefschwester|Gregory Maguire-Mechtild Sandberg-Ciletti|3423242302|3.52
Gothic!: The Original Dark Tales|Deborah Noyes-Vivian Vande Velde-Barry Yourgrau-Joan Aiken-M.T. Anderson-Neil Gaiman-Caitlin R. Kierman-Gregory Maguire-Garth Nix-Celia Rees-Janni Lee Simmer|0439803632|3.55
Peyton Place|Grace Metalious|1860499295|3.75
On the Night You Were Born|Nancy Tillman|0312346069|4.36
The Night at the Museum|Milan Trenc|0764136313|3.89
The Heart Is a Lonely Hunter|Carson McCullers|0618084746|3.98
The Heart Is a Lonely Hunter|Carson McCullers-Kasia Boddy|0141185228|3.98
The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem|Muriel Spark|1857152743|3.78
The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem|Muriel Spark|1400042062|3.78
The Pat Hobby Stories|F. Scott Fitzgerald-Arnold Gingrich|0684804425|3.58
The Pursuit of the Well-Beloved & The Well-Beloved|Thomas Hardy-Patricia Ingham|0140435190|3.59
Playing in the Dark: Whiteness and the Literary Imagination|Toni Morrison|0674673778|4.22
The Big Box|Toni Morrison-Slade Morrison|0786812915|3.95
Ojos azules|Toni Morrison|8497932668|4.01
Their Eyes Were Watching God|Zora Neale Hurston|0061120065|3.9
Grasping God's Word: A Hands-On Approach to Reading  Interpreting  and Applying the Bible|J. Scott Duvall-J. Daniel Hays|0310259665|4.16
The Short Stories of Ernest Hemingway|Ernest Hemingway|0020518609|4.26
Little Big Book for God's Children|Alice Wong-Lena Tabori|094180755X|4.88
Little Children|Tom Perrotta|0312315732|3.62
Dale Loves Sophie to Death|Robb Forman Dew|0316890669|3.24
The Secret Life of Bees|Sue Monk Kidd|0142001740|4.04
Hokkaido Highway Blues: Hitchhiking Japan|Will Ferguson|1841952885|4.0
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years  #1)|Gregory Maguire-Douglas Smith|0060987103|3.53
The Martian Chronicles|Ray Bradbury-Ian  Miller|0553011804|4.13
The Martian Chronicles|Ray Bradbury|096501746X|4.13
To Kill a Mockingbird (To Kill a Mockingbird  #1)|Harper Lee|1439550417|4.27
You Know You Love Me (Gossip Girl  #2)|Cecily von Ziegesar|0316911488|3.52
Classroom Interactions as Cross-Cultural Encounters: Native Speakers in EFL Lessons|Jasmine C.M. Luk-Angel M.Y. Lin|0805850848|0.0
The Other Boleyn Girl (The Plantagenet and Tudor Novels  #9)|Philippa Gregory|0743227441|4.05
Them: Adventures with Extremists|Jon Ronson|0330375466|3.95
Why I Hate Canadians|Will Ferguson|1550546007|3.71
Happiness|Will Ferguson|006052510X|3.78
Discovering God's Will|Sinclair B. Ferguson|0851513344|4.24
Nobody Does It Better (Gossip Girl  #7)|Cecily von Ziegesar|0747576092|3.62
The Truth of the Matter|Robb Forman Dew|0316013307|3.06
The Stranger|Albert Camus-Matthew    Ward-Peter Dunwoodie|0679420266|3.97
Spinoza: A Life|Steven Nadler|0521002931|4.09
Organizational Architecture: Designs for Changing Organizations|David A. Nadler-Robert B. Shaw-Marc S. Gerstein|1555424430|4.62
Henry V|William Shakespeare-Barbara A. Mowat-Paul Werstine|0743484878|3.88
Erotism: Death and Sensuality|Georges Bataille-Mary Dalwood|0872861902|4.1
The Weimar Republic: The Crisis of Classical Modernity|Detlev J.K. Peukert-Richard Deveson|0809015560|3.82
Adam and Eve and Pinch Me|Ruth Rendell|1400031184|3.64
A Pinch of Snuff (Dalziel & Pascoe  #5)|Reginald Hill|0440169127|3.85
Egyptian Myth: A Very Short Introduction|Geraldine Pinch|0192803468|3.62
A Pinch of Poison (Hemlock Falls Mysteries  #3)|Claudia Bishop|0425151042|3.58
Persuasion|Jane Austen|0812565886|4.13
Beyond Seduction (Beyond Duet  #2)|Emma Holly|0515133086|3.69
Sense and Sensibility|Jane Austen-Claire Lamont-James Kinsley|0192804782|4.07
Sense and Sensibility|Jane Austen-Claire Lamont-Ros Ballaster|0140434259|4.07
Sense and Sensibility|Jane Austen-Laura Engel|159308336X|4.07
Sense and Sensibility|Jane Austen-Laura Engel|1593080492|4.07
One Flew Over the Cuckoo's Nest (SparkNotes Literature Guide)|SparkNotes-Ken Kesey|1586633791|4.12
The Listerdale Mystery|Agatha Christie|0007154887|3.55
Mörderblumen|Agatha Christie|3502509131|3.67
A Different Mirror: A History of Multicultural America|Ronald Takaki|0316831115|4.11
Trapped in the Mirror: Adult Children of Narcissists in Their Struggle for Self|Elan Golomb|0688140718|3.82
The Buried Mirror: Reflections on Spain and the New World|Carlos Fuentes|084467012X|4.01
The Buddha in Your Mirror: Practical Buddhism and the Search for Self|Woody Hochswender-Greg Martin-Ted Morino|0967469783|4.28
A Distant Mirror: The Calamitous 14th Century|Barbara W. Tuchman|0345910907|4.08
They Do It With Mirrors|Agatha Christie-Rosemary Leach|1559277580|3.75
The Mirror Crack'd|Agatha Christie|0553350153|3.91
Dead Man's Mirror|Agatha Christie|0553350749|3.76
Miss Marple Meets Murder: The Mirror Crack'd / A Pocket Full of Rye / At Bertram's Hotel / The Moving Finger|Agatha Christie|2731800097|4.17
The Lemon Table|Julian Barnes|1400076501|3.67
The Criminal Mastermind Collection  Bks 1-3 (Artemis Fowl  #1-3)|Eoin Colfer|0786848693|4.36
The Arctic Incident (Artemis Fowl  #2)|Eoin Colfer|0439441439|3.95
Artemis Fowl (Artemis Fowl  #1)|Eoin Colfer|0439356008|3.84
Encuentro en el Ártico (Artemis Fowl  #2)|Eoin Colfer|8497939212|3.95
The Eternity Code (Artemis Fowl  #3)|Eoin Colfer|0439573882|4.05
El cubo B (Artemis Fowl  #3)|Eoin Colfer-Ana Alcaina|0307343111|4.05
The Arctic Incident (Artemis Fowl  #2)|Eoin Colfer|0670899631|3.95
The Eternity Code (Artemis Fowl  #3)|Eoin Colfer|0670913529|4.05
Monsoon Summer|Mitali Perkins|0440238404|3.83
Chasing the Monsoon|Alexander Frater|033043313X|3.96
Warlock (Ancient Egypt  #3)|Wilbur Smith|0312980388|4.04
Sea of Thunder: Four Commanders and the Last Great Naval Campaign 1941-1945|Evan Thomas|0743252217|4.11
Gift from the Sea|Anne Morrow Lindbergh|0679406832|4.17
Wide Sargasso Sea: A Reader's Guide to Essential Criticism|Carl Plasa|184046268X|3.64
The Good Housekeeping Illustrated Cookbook|Good Housekeeping-Zoe Coulson|0878510370|4.36
Evelina|Fanny Burney-Edward A. Bloom|0192840312|3.66
Dancing On Air|Frances Oliver|1553100662|4.12
Holding On to the Air|Suzanne Farrell-Toni Bentley|0813025931|4.07
The Turtle (The Lighthouse Family  #4)|Cynthia Rylant-Preston McDaniels|0689863128|4.08
The Body in the Lighthouse|Katherine Hall Page|0380813866|3.68
American Tragedy: Kennedy  Johnson  and the Origins of the Vietnam War|David E. Kaiser|0674006720|3.5
The Sun Also Rises|Ernest Hemingway|0684182602|3.82
The Call of the Wild|Jack London-Wendell Minor|068981836X|3.85
The Call of the Wild|Jack London-Gary Paulsen|0689856741|3.85
The Call of the Wild and Three Other Klondike Stories|Jack London-Roger Dressler|1587887738|3.81
The Call of the Wild and Selected Stories: 100th Anniversary Ed.|Jack London-Alex Kershaw|0451527038|3.83
Fahrenheit 451|Ray Bradbury-Alfredo Crespo|8497930053|3.98
The Lion  the Witch and the Wardrobe (Chronicles of Narnia  #1)|Hiawyn Oram-C.S. Lewis-Tudor Humphries|0060556501|4.19
The Lion  the Witch and the Wardrobe (Chronicles of Narnia #2)|C.S. Lewis-Pauline Baynes|0060765488|4.21
The Lion  the Witch and the Wardrobe (Chronicles of Narnia  #2)|C.S. Lewis-Pauline Baynes|0590254766|4.21
The Lion  the Witch and the Wardrobe (Narnia)|C.S. Lewis-Pauline Baynes|0060845244|4.21
Rebecca's Revival: Creating Black Christianity in the Atlantic World|Jon F. Sensbach|0674022572|3.68
New Moon (Moon #6)|Rebecca York|0425216020|3.86
Health: The Basics (Donatelle Series)|Rebecca J. Donatelle|0805377956|3.61
Cliffsnotes on Eliot's Middlemarch|Brian Johnston-George Eliot-CliffsNotes|0822008254|4.14
Alice's Adventures in Wonderland|Lewis Carroll-Richard  Kelly|155111223X|4.01
A Christmas Carol and The Night Before Christmas|Charles Dickens-Clement C. Moore-Arthur Rackham|0517229277|4.33
In Search of Dracula: The History of Dracula and Vampires|Raymond T. McNally-Radu Florescu|0395657830|3.86
The Annotated Charlotte's Web|E.B. White-Garth Williams-Peter F. Neumeyer|0060882603|4.16
Just as Long as We're Together|Judy Blume|0330398040|4.07
Are You There God? It's Me  Margaret|Judy Blume|0689841582|3.9
Wifey / Smart Women|Judy Blume|0743437578|3.69
Forever...|Judy Blume|0689849737|3.62
Fudge-a-Mania (Fudge  #4)|Judy Blume|0425193829|4.01
Freckle Juice|Judy Blume|9991373764|3.83
Blubber|Judy Blume|0330398059|3.79
Tales of a Fourth Grade Nothing (Fudge  #1)|Judy Blume|0425193799|4.1
Forever . . .|Judy Blume|033039780X|3.62
Wifey|Judy Blume|0425206548|3.36
Everything I Needed to Know about Being a Girl I Learned from Judy Blume|Jennifer O'Connell-Meg Cabot-Megan McCafferty-Melissa Senate-Diana Peterfreund-Stephanie Lessing-Laura Ruby-Erica Orloff-Stacey Ballis-Julie Kenner-Kristin Harmel-Jennifer Coburn-Elise Juska-Kyra Davis-Beth Kendrick-Berta Platas-Lynda Curnyn-Kayla Perrin-Cara Lockwood-Alison Pace-Megan Crane-Lara Deloza-Laura Caldwell-Shanna Swendson|1416531041|3.47
BFF*: Just As Long As We're Together / Here's to You  Rachel Robinson (*Best Friends Forever)|Judy Blume|0385734077|4.25
Yosemite: Its Discovery  Its Wonder and Its People|Margaret Sanborn|0939666502|3.96
A Man of the People|Chinua Achebe|0385086164|3.87
Collected Poems|Chinua Achebe|1400076587|3.79
Arrow of God (The African Trilogy  #3)|Chinua Achebe|0385014805|3.81
Anatomy of a Boyfriend (Anatomy  #1)|Daria Snadowsky|0385733208|3.41
Lithium for Medea|Kate Braverman-Rick Moody|1583224718|3.94
Medea|Euripides-Robinson Jeffers|0573612250|4.2
Die Leiden des Jungen Werther|Johann Wolfgang von Goethe-R. Paulin|1853993239|3.65
Die Leiden des jungen Werthers|Johann Wolfgang von Goethe-Wilhelm Große|3518188054|3.65
A Doll's House|Henrik Ibsen-Michael   Meyer|1406914835|3.71
The African-American Odyssey  Volume 2|Darlene Clark Hine-William C. Hine-Stanley C. Harrold|0131922165|3.95
The Odyssey|Homer-George Herbert Palmer|0486406547|3.75
Caesar's Commentaries: On the Gallic War & On the Civil War|Gaius Julius Caesar-James H. Ford-W.A. McDevitte|0976072610|4.12
The Conquest of Gaul|Gaius Julius Caesar-F.P. Long-Cheryl Walker|0760768951|3.99
The Assassination of Julius Caesar: A People's History of Ancient Rome|Michael Parenti|1565849426|4.14
Letters from the Earth: Uncensored Writings|Mark Twain-Bernard DeVoto-Henry Nash Smith|0060518650|4.22
Mark Twain: Selected Works|Mark Twain|0517053578|4.28
The Blazing Center Study Guide: The Soul-Satisfying Supremacy of God in All Things|John Piper|1590526856|4.28
The God of Small Things|Arundhati Roy|0060977493|3.93
Balzac y la joven costurera china|Dai Sijie|8478887350|3.64
Balzac und die kleine chinesische Schneiderin|Dai Sijie|3492238696|3.64
The Wit &  Wisdom of Winston Churchill|James C. Humes-Richard M. Nixon|0060925779|3.99
Winston Churchill|John Keegan|0670030791|3.84
The Illustrated Garden Book: A New Anthology|Robin Lane  Fox-Vita Sackville-West-Freda Titford-Ken Kirkwood|0689118449|4.19
The Long Hard Road Out of Hell|Marilyn Manson-Neil Strauss|0060987464|3.89
Dissecting Marilyn Manson|Gavin Baddeley|0859653722|3.86
Marilyn Manson|Kurt Reighley|0312181337|3.39
Marilyn Manson: The Lonely Watchman|Richard D. Nelson|1597818704|4.0
Philosophical Papers: Volume 1  Human Agency and Language|Charles Taylor|0521317509|4.31
Sources of the Self: The Making of the Modern Identity|Charles Taylor|0674824261|4.19
The Ethics of Authenticity|Charles Taylor|0674268636|3.9
Multiculturalism|Charles Taylor-Amy Gutmann-Michael Walzer-Susan R. Wolf-Shierry Weber Nicholsen-Kwame Anthony Appiah-Jürgen Habermas-Steven C. Rockefeller|0691037795|3.81
Charles Taylor|Ruth  Abbey|0521805228|3.6
Built To Last: Building America's Amazing Bridges  Dams  Tunnels  and Skyscrapers (Built to Last)|George Sullivan|0439517370|4.09
The Art of the Start: The Time-Tested  Battle-Hardened Guide for Anyone Starting Anything|Guy Kawasaki|1591840562|3.85
Mandala Sand Art Kit|Walter Foster Creative Team|1560107669|1.0
The Death Shift: The True Story of Nurse Genene and the Texas Baby Murders|Peter Elkind|0451401964|3.77
Turn of the Cards (Wild Cards  #12)|George R.R. Martin-Victor Milán|0553561529|3.69
Turn of the Cards|Georgina Grey|0449239691|3.5
Dr. Seuss (First Biographies)|Cheryl Carlson|0736850910|4.32
Go Jump in the Pool! (Macdonald Hall  #2)|Gordon Korman|0590442090|4.15
Shipwreck (Island I)|Gordon Korman-Holter Graham|0439023319|3.8
Beware The Fish!|Gordon Korman|0590319647|4.19
The Pusher (87th Precinct  #3)|Ed McBain|0752857932|3.89
Eight Black Horses (87th Precinct  #38)|Ed McBain-Mark T. Sullivan|0743463080|3.91
Fiddlers (87th Precinct  #55)|Ed McBain-Otto Penzler|0156032783|3.86
The Last Dance (87th Precinct  #50)|Ed McBain|0671025708|3.69
The Listener's Bible: NIV|Anonymous-Max McLean|1931047170|4.6
Information Technology for Management: Transforming Organizations in the Digital Economy|Efraim Turban-Dorothy Leidner-James C. Wetherbe-Ephraim McLean-Christy Cheung-Daniel Tse-Maggie Lew|0471705225|3.93
A Search for What Makes Sense: Finding Faith|Brian D. McLaren-Steve Chalke|0310272661|3.59
Police Brutality: An Anthology|Jill Nelson-Robin D.G. Kelley-Richard Austin-Flores Alexander Forbes-Ron Daniels-Frank Moss-Derrick A. Bell-Claude Andrew Clegg III-Katheryn K. Russell-Patricia J. Williams-Stanley Crouch-Ishmael Reed-Arthur Doye|0393321630|3.79
Reluctant Burglar (To Catch a Thief #1)|Jill Elizabeth Nelson|1590526864|3.67
Q: The Autobiography of Quincy Jones|Quincy Jones|0767905105|4.08
Mansion On The Hill: Dylan Young Geffen Springsteen and the Head-on-Collision of Rock and Commerce|Fred Goodman|0712645624|3.93
Lady on the Hill: How Biltmore Estate Became an American Icon|Howard E. Covington Jr.|0471758183|3.89
Hit Men: Power Brokers and Fast Money Inside the Music Business|Fredric Dannen-Erroll McDonald|0679730613|3.95
Savannah Blues (Weezie and Bebe Mysteries  #1)|Mary Kay Andrews|0060519134|3.98
Savannah Blues|Mary Kay Andrews|0060086114|3.98
The Last Shogun: The Life of Tokugawa Yoshinobu|Ryōtarō Shiba-Juliet Winters Carpenter|1568363567|3.74
Shōgun (Asian Saga  #1)|James Clavell|0340766166|4.38
Whoreson|Donald Goines|0870679945|4.33
Crime Partners|Donald Goines|0870678817|4.22
Jonah's Gourd Vine|Zora Neale Hurston|0060916516|4.0
The Complete Stories|Zora Neale Hurston-Henry Louis Gates Jr.-Sieglinde Lemke|0060921714|4.25
Zora Neale Hurston: A Literary Biography|Robert E. Hemenway-Alice Walker|0252008073|4.11
Zora Neale Hurston: Critical Perspectives Past And Present (Amistad Literary Series)|Henry Louis Gates Jr.-Kwame Anthony Appiah|1567430287|4.2
Bailey's Café|Gloria Naylor|2070731391|4.01
The Tarot Cafe  #1|Sang-Sun Park|1595325557|3.88
Photography's Other Histories|Christopher Pinney-Nicholas Peterson|0822331136|3.73
Photos of the Gods: The Printed Image and Political Struggle in India|Christopher Pinney|1861891849|3.96
Antitrust Law|Richard A. Posner|0226675769|4.0
Case Closed: Lee Harvey Oswald and the Assassination of JFK|Gerald Posner|1400034620|3.96
Sex and Reason|Richard A. Posner|0674802802|3.9
Law and Literature|Richard A. Posner|0674514718|3.65
Orlando: A Biography: Film Screenplay|Sally Potter-Virginia Woolf|0571172954|4.07
Orlando Furioso: Part Two|Ludovico Ariosto-Barbara Reynolds|014044310X|4.24
Orlando Furioso|Ludovico Ariosto-Guido Waldman|0192836773|4.0
A People's Tragedy: The Russian Revolution: 1891-1924|Orlando Figes|014024364X|4.3
Alas  Babylon|Pat Frank|0060741872|4.07
Alas  Babylon|Pat Frank|0553115022|4.07
Alas  Babylon|Pat Frank|0553132601|4.07
Alas  Babylon|Pat Frank|0553205862|4.07
The South Beach Diet: The Delicious  Doctor-Designed  Foolproof Plan for Fast and Healthy Weight Loss|Arthur Agatston|1579546463|3.44
On the Beach|Nevil Shute|1842322761|3.93
The Book of Merlyn: The Unpublished Conclusion to The Once & Future King|T.H. White|0292707185|3.96
The Art of Happiness|Dalai Lama XIV-Howard C. Cutler|1573221112|4.16
The Art of Happiness at Work|Dalai Lama XIV-Howard C. Cutler|0340831200|4.16
Zen and the Art of Happiness|Chris Prentiss|0943015537|4.04
Lovingkindness: The Revolutionary Art of Happiness|Sharon Salzberg-Jon Kabat-Zinn|1590301870|4.26
Kaplan & Sadock's Synopsis of Psychiatry: Behavioral Sciences/Clinical Psychiatry|Benjamin James Sadock-Virginia Alcott Sadock|0781731836|4.2
How to Go to College Almost for Free  Updated|Ben R. Kaplan|0060937653|3.46
Australia|Kate Hemphill-Zoë Ross-Louise Bostock Lang|0756615690|4.03
Australia|Justine Vaisutis-Paul Smitz-Carolyn Bain-Sandra Bao|1740597400|4.02
Australia & New Zealand on a Shoestring (Lonely Planet on a Shoestring)|Lonely Planet-Paul Smitz-Peter Cruttenden-Sandra Bao|1740596463|4.04
Let's Go Australia on a Budget|Let's Go Inc.|031236086X|3.92
Mutant Message From Forever|Marlo Morgan|072254040X|3.73
Traumfänger : Die Reise einer Frau in die Welt der Aborigines|Marlo Morgan-Anne Rademacher|3442306310|3.79
Moll Flanders|Daniel Defoe|1853260738|3.52
Moll Flanders|Daniel Defoe-Albert J. Rivero|0393978621|3.52
Moll Flanders|Daniel Defoe-Virginia Woolf|0375760105|3.52
Moll Flanders|Daniel Defoe|0140620257|3.52
Tales of the City (Tales of the City  #1)|Armistead Maupin|0060964049|4.04
Pieces: A Collection of New Voices|Stephen Chbosky-William Clifford-Matthew Loren Cohen-Aury Wallington-Dennis G. Dillingham Jr.-Davy Rothbart-Clementyne Howard-Martin Wilson-Michelle Rick-Carmen Elena Mitchell-Jason Rekulak-Kathleen Bedwell Hughes-Aisha D. Gayle-Chandra Steele-Joy Monica T. Sakaguchi-Sujata DeChoudhury|0671001957|3.52
Vielleicht Lieber Morgen|Stephen Chbosky|3802527356|4.2
The Leatherstocking Tales  Vol. 2: The Pathfinder / The Deerslayer|James Fenimore Cooper-Blake Nevius|0940450216|3.95
Der letzte Mohikaner|James Fenimore Cooper|3401002643|3.7
The Last of the Mohicans (The Leatherstocking Tales #2)|James Fenimore Cooper|0553213296|3.7
A River Runs Through It|Norman Maclean-Barry Moser|0226500608|4.17
Empires of the Monsoon: A History of the Indian Ocean and Its Invaders|Richard Seymour Hall|0006380832|4.41
The Next Whole Earth Catalog: Access to Tools|Stewart Brand|0394707761|4.43
Whole Earth Software Catalog|Stewart Brand|0385191669|3.92
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets|Nassim Nicholas Taleb|0812975219|4.05
El Borbah|Charles Burns|1560976934|3.94
Black Hole|Charles Burns|037542380X|3.83
Black Hole  tome 3: Visions|Charles Burns|2840555522|4.0
Black Hole  tome 4 : Reine des lézards|Charles Burns|2840558874|4.26
9-11|Noam Chomsky-Greg Ruggiero-Marili Margomenou-Miguel Mora-Natalie Levisalles-Il Manifesto-Hartford Courant-David Barsamian-Radio B92-Elise Fried-Peter Kreysler-Gionarle del Popolo-Michael Albert|1583224890|3.73
Secrets  Lies and Democracy|Noam Chomsky-David Barsamian|1878825046|3.98
Syntactic Structures|Noam Chomsky-David W. Lightfoot|3110172798|3.84
The Umbrella of US Power: The Universal Declaration of Human Rights & the Contradictions of US Policy|Noam Chomsky-Greg Ruggiero|1583225471|3.94
The Common Good|Noam Chomsky-David Barsamian-Arthur Naiman|1878825089|4.0
The Curious Sofa|Edward Gorey|0151003076|4.17
LOVE MODE 11|Yuki Shimizu-志水 ゆき|4835214102|4.39
LOVE MODE 4|Yuki Shimizu-志水 ゆき|4882718324|4.25
Ring (Ring  #1)|Kōji Suzuki-Robert B. Rohmer-Glynne Walley|1932234411|3.82
The Ring Volume 4 Birthday|Kōji Suzuki-Sakura Mizuki|1593072678|3.54
Strings  Conformal Fields  and M-Theory (Graduate Texts in Contemporary Physics)|Michio Kaku|0387988920|4.16
Introduction to Superstrings and M-Theory|Michio Kaku-Joseph L. Birman-H. Eugene Stanley-J.W. Lynn-M.P. Silverman-M. Voloshin|0387985891|4.27
To Win a Nuclear War: The Pentagon's Secret War Plans|Michio Kaku-Daniel Axelrod|0896083217|3.91
Company|Max Barry|1400079373|3.73
Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem|Simon Singh|0385493622|4.24
The Science Book|Peter Tallack-Simon Singh|1841882542|4.05
Baby-Sitters Club Boxed Set #1 (The Baby-Sitters Club  #1-4)|Ann M. Martin|0590598872|3.85
The Truth About Stacey (The Baby-Sitters Club  #3)|Ann M. Martin|0439389844|3.85
Good-bye Stacey  Good-bye (The Babysitters Club  #13)|Ann M. Martin|0590764705|3.65
Kristy's Great Idea (The Baby-Sitters Club  #1)|Ann M. Martin|0439284244|3.97
Kristy's Great Idea (Baby-Sitters Club Graphic Novels #1)|Raina Telgemeier-Ann M. Martin|1417699671|4.17
The Actor in You: Sixteen Simple Steps to Understanding the Art of Acting|Robert Benedetti|0205359213|3.7
